county,lbs_2010,rank_2010,lbs_2011,rank_2011
Alameda,295196,37,352704,37
Alpine,633,58,621,58
Amador,66814,45,95375,44
Butte,1952875,22,2094523,21
Calaveras,38081,47,78438,46
Colusa,2064928,21,2523811,18
Contra Costa,455774,34,406979,36
Del Norte,288120,38,293246,38
El Dorado,136868,43,130524,42
Fresno,30250572,1,36784255,1
Glenn,2153394,19,2324538,19
Humboldt,31097,49,27881,50
Imperial,4900805,11,5221939,11
Inyo,1285,57,7801,54
Kern,25713116,2,28131525,2
Kings,6768103,9,7193006,8
Lake,419246,35,699049,32
Lassen,211331,42,80131,45
Los Angeles,2139452,20,1658199,22
Madera,9130306,5,11639271,4
Marin,64478,46,64525,48
Mariposa,5875,54,5808,55
Mendocino,1146231,28,747762,31
Merced,7730240,7,7022329,9
Modoc,78327,44,116150,43
Mono,5544,55,9745,53
Monterey,8727883,6,8578249,6
Napa,1329099,25,1390747,24
Nevada,10252,53,27658,51
Orange,1311387,26,925744,28
Placer,235341,41,264202,40
Plumas,12785,52,2897,56
Riverside,2361412,18,2116570,20
Sacramento,3622127,13,3578339,13
San Benito,700037,33,547772,34
San Bernardino,398011,36,506566,35
San Diego,1370676,24,1357633,25
San Francisco,18480,50,40667,49
San Joaquin,9425876,4,10861698,5
San Luis Obispo,3033397,14,3242901,15
San Mateo,276462,39,282815,39
Santa Barbara,4393097,12,5202246,12
Santa Clara,1132356,29,890845,29
Santa Cruz,1030787,31,1652522,23
Shasta,249149,40,232246,41
Sierra,1413,56,717,57
Siskiyou,1759745,23,1248464,26
Solano,1068342,30,548477,33
Sonoma,2649940,17,2637951,17
Stanislaus,5961405,10,6664842,10
Sutter,2802269,16,3134112,16
Tehama,794219,32,882954,30
Trinity,13298,51,25156,52
Tulare,13143767,3,15289748,3
Tuolumne,31968,48,70918,47
Ventura,7006004,8,7527248,7
Yolo,2828757,15,3324649,14
Yuba,1250171,27,1201622,27
