county,lbs_2008,rank_2008,lbs_2009,rank_2009
alameda,320625,38,207729,41
alpine,472,57,362,57
amador,82796,45,66657,44
butte,2484720,16,1110027,26
calaveras,33464,50,27195,47
colusa,2076109,22,2412116,15
contra costa,456741,35,414036,35
del norte,321645,37,4418,55
el dorado,100283,44,108061,42
fresno,27623919,1,27818431,1
glenn,2107543,21,2118108,20
humboldt,61943,47,28567,46
imperial,4483349,11,3647306,12
inyo,5864,54,1953,56
kern,25548011,2,21997444,2
kings,6289848,9,6760228,7
lake,602776,34,367113,36
lassen,125739,43,86872,43
los angeles,2743118,14,2237426,17
madera,7591131,5,7686613,6
marin,68953,46,63136,45
mariposa,5795,55,9791,51
mendocino,953465,29,659765,33
merced,6934022,6,5977369,8
modoc,391062,36,452166,34
mono,3669,56,4806,54
monterey,7910578,4,7788043,5
napa,1150084,25,1542060,22
nevada,35306,49,14947,50
orange,1049479,27,1230905,25
placer,240818,41,282905,38
plumas,59385,48,24801,48
riverside,2299331,20,1252033,24
sacramento,3412900,13,3128156,13
san benito,698989,33,802395,31
san bernardino,273897,40,319684,37
san diego,868881,30,1016771,28
san francisco,10514,53,5701,53
san joaquin,6777463,7,8457681,4
san luis obispo,2399510,18,2229886,18
san mateo,306803,39,242193,40
santa barbara,4291189,12,3732766,11
santa clara,1173874,24,679712,32
santa cruz,1654999,23,1585802,21
shasta,206999,42,268154,39
sierra,156,58,58,NA
siskiyou,1074450,26,1484802,23
solano,829706,31,891192,30
sonoma,2418268,17,2149897,19
stanislaus,5706370,10,5623249,10
sutter,2636539,15,2611046,14
tehama,998654,28,900355,29
trinity,13186,52,7329,52
tulare,14347950,3,14074817,3
tuolumne,19407,51,24641,49
ventura,6451549,8,5782073,9
yolo,2306027,19,2390152,16
yuba,798625,32,1057863,27
