county,lbs_2009,rank_2009,lbs_2010,rank_2010
Alameda,214588,42,290790,36
Alpine,362,58,633,58
Amador,66657,45,66813,44
Butte,2462411,15,1945444,22
Calaveras,27195,48,38078,47
Colusa,2412124,16,2050670,21
Contra Costa,414036,35,460029,33
Del Norte,231234,41,288120,37
El Dorado,108061,43,136723,42
Fresno,27769122,1,30283617,1
Glenn,2123913,21,2117453,19
Humboldt,28567,47,31021,49
Imperial,3924514,11,4901524,11
Inyo,5292,56,1285,57
Kern,21997483,2,25782086,2
Kings,6760478,7,6743291,9
Lake,367113,36,419249,34
Lassen,86872,44,211211,41
Los Angeles,2239089,18,2112663,20
Madera,7698784,6,9129884,5
Marin,63136,46,64475,46
Mariposa,9791,52,5875,54
Mendocino,659766,33,1145626,27
Merced,5977272,8,7736269,7
Modoc,452166,34,78327,43
Mono,8433,53,5544,55
Monterey,7788548,5,8727282,6
Napa,1542908,24,1326805,24
Nevada,16364,51,10252,53
Orange,1231316,26,1305617,25
Placer,282905,38,232967,40
Plumas,24997,49,12785,52
Riverside,1787288,22,2339739,18
Sacramento,3084565,13,3622828,13
San Benito,802402,31,699886,32
San Bernardino,320969,37,397317,35
San Diego,1016777,28,1370559,23
San Francisco,5701,55,18476,50
San Joaquin,8490520,4,9421118,4
San Luis Obispo,2230354,19,3033455,14
San Mateo,242279,40,271727,38
Santa Barbara,3733610,12,4378453,12
Santa Clara,679712,32,1131360,28
Santa Cruz,1585810,23,1028209,30
Shasta,268154,39,249060,39
Sierra,1031,57,1413,56
Siskiyou,1484802,25,66702,45
Solano,891606,30,1069343,29
Sonoma,2149900,20,2648451,17
Stanislaus,5548517,10,5961801,10
Sutter,2611821,14,2797033,16
Tehama,900387,29,794216,31
Trinity,7329,54,13298,51
Tulare,14074834,3,13148843,3
Tuolumne,24641,50,31910,48
Ventura,5782307,9,6991486,8
Yolo,2390160,17,2830795,15
Yuba,1057863,27,1233935,26
