county,lbs_2007,rank_2007,lbs_2008,rank_2008
alameda,278934,41,320559,38
alpine,1033,58,472,57
amador,99692,44,82304,45
butte,3083724,14,2481130,16
calaveras,45509,48,33458,50
colusa,2062102,21,2067987,21
contra costa,632000,34,456573,35
del norte,333059,38,321641,37
el dorado,193053,42,99682,44
fresno,26013286,1,27543587,1
glenn,2301269,20,1085894,25
humboldt,57950,46,61943,47
imperial,5049024,11,3740014,12
inyo,2328,56,5871,54
kern,25984379,2,25441400,2
kings,5651973,10,6239993,9
lake,571885,35,601928,34
lassen,40027,49,125312,43
los angeles,2517364,18,2741761,14
madera,8965193,5,7578258,5
marin,46887,47,68953,46
mariposa,8985,54,5795,55
mendocino,1946646,22,952825,29
merced,7068429,7,6912082,6
modoc,163780,43,389141,36
mono,1274,57,3669,56
monterey,8543087,6,7893327,4
napa,1648774,25,1137388,24
nevada,92450,45,35207,49
orange,1129631,28,1049118,27
placer,295836,39,240765,41
plumas,21902,51,59385,48
riverside,2638581,17,2278421,20
sacramento,3265539,13,3411537,13
san benito,653829,33,676656,33
san bernardino,373281,36,273532,40
san diego,1477784,26,868254,30
san francisco,14935,52,10514,53
san joaquin,9135807,4,6754501,7
san luis obispo,1887416,23,2400818,18
san mateo,290190,40,306063,39
santa barbara,4485300,12,4279799,11
santa clara,931918,31,1173078,23
santa cruz,1843778,24,1653785,22
shasta,336292,37,206984,42
sierra,8338,55,156,58
siskiyou,1317335,27,1074184,26
solano,813654,32,818358,31
sonoma,2702102,16,2402744,17
stanislaus,5818539,9,5677506,10
sutter,2813006,15,2613894,15
tehama,1088398,30,997693,28
trinity,9929,53,13186,52
tulare,15317559,3,14310365,3
tuolumne,27890,50,19407,51
ventura,6214628,8,6437899,8
yolo,2459795,19,2295955,19
yuba,1102630,29,798445,32
