county,lbs_2006,rank_2006,lbs_2007,rank_2007
alameda,259013,41,280149,41
alpine,64,58,1033,58
amador,88362,45,99692,44
butte,3446387,13,3088889,14
calaveras,49205,50,45509,48
colusa,2101613,21,2063967,21
contra costa,874352,31,632000,34
del norte,307890,39,333059,38
el dorado,113741,43,193053,42
fresno,31844073,1,26082330,1
glenn,2476704,20,2311729,20
humboldt,70769,46,58002,46
imperial,4918335,11,5049023,11
inyo,16839,52,2328,56
kern,30659418,2,25988123,2
kings,6326724,9,5651830,10
lake,525120,36,571885,35
lassen,96273,44,40027,49
los angeles,2645608,17,2517364,18
madera,9737405,5,8966231,5
marin,58341,49,46887,47
mariposa,8318,54,8984,54
mendocino,1094588,29,1946646,22
merced,7330745,7,7081365,7
modoc,199366,42,163780,43
mono,4354,57,1274,57
monterey,8208057,6,8680918,6
napa,1508329,25,1648765,25
nevada,59993,48,92450,45
orange,1264641,28,1129631,28
placer,327783,38,295836,39
plumas,7047,55,21902,51
riverside,2637389,18,2638582,17
sacramento,3295273,14,3267107,13
san benito,751581,34,653828,33
san bernardino,587254,35,373281,36
san diego,2012682,23,1474494,26
san francisco,64089,47,14935,52
san joaquin,10182509,4,9147083,4
san luis obispo,2089161,22,1887414,23
san mateo,268278,40,288151,40
santa barbara,4072092,12,4482140,12
santa clara,1388264,27,931916,31
santa cruz,1730935,24,1843886,24
shasta,371317,37,336292,37
sierra,6661,56,8338,55
siskiyou,949326,30,1317335,27
solano,792169,33,813654,32
sonoma,2531639,19,2702102,16
stanislaus,5592085,10,5843733,9
sutter,3157333,15,2813495,15
tehama,823095,32,1089763,30
trinity,10621,53,9929,53
tulare,16994050,3,15319425,3
tuolumne,28397,51,27890,50
ventura,6862390,8,6214628,8
yolo,2648850,16,2466770,19
yuba,1390990,26,1102630,29
