county,lbs_2014,rank_2014,lbs_2015,rank_2015
alameda,306144,38,356310,38
alpine,272,58,193,58
amador,96036,44,95631,45
butte,2988763,17,3227227,15
calaveras,59965,48,52806,47
colusa,2489789,18,2595649,21
contra costa,412947,36,580357,35
del norte,199519,41,135966,43
el dorado,152314,42,148703,42
fresno,31969270,1,37546827,1
glenn,2091507,21,2210193,22
humboldt,36735,51,38253,50
imperial,5030191,11,4975642,11
inyo,12151,55,14009,53
kern,27821945,2,31903060,2
kings,6902956,9,7016567,10
lake,583418,34,739467,33
lassen,116956,43,56453,46
los angeles,2088625,22,2598817,20
madera,9588770,5,11294779,5
marin,76885,47,107679,44
mariposa,8751,57,5856,56
mendocino,906058,31,1307324,29
merced,8980921,7,10115786,6
modoc,91721,45,214377,41
mono,9885,56,12046,54
monterey,9407636,6,9181358,7
napa,1365951,26,1581059,25
nevada,53769,49,49497,49
orange,921109,30,1231732,30
placer,308293,37,383049,37
plumas,26863,52,20971,52
riverside,2247379,19,2676499,19
sacramento,4061419,13,4779465,13
san benito,660443,33,589271,34
san bernardino,578450,35,457318,36
san diego,1620462,24,1458292,26
san francisco,39914,50,28937,51
san joaquin,12047946,4,12814552,4
san luis obispo,3041144,15,3212575,16
san mateo,261383,39,251648,40
santa barbara,4785627,12,4965270,12
santa clara,1319889,27,1010331,31
santa cruz,1922385,23,1810519,23
shasta,247169,40,291774,39
sierra,12384,54,11305,55
siskiyou,1616458,25,1428155,28
solano,1309612,28,1451108,27
sonoma,2228887,20,2839007,18
stanislaus,7146785,8,8083345,8
sutter,3024005,16,3136720,17
tehama,863442,32,969530,32
trinity,22324,53,4874,57
tulare,14924204,3,17610519,3
tuolumne,83337,46,50298,48
ventura,6541333,10,7345915,9
yolo,3487379,14,4168753,14
yuba,1035852,29,1602424,24
