county,lbs_2014,rank_2014,lbs_2015,rank_2015
Alameda,306144,38,356310,38
Alpine,272,58,193,58
Amador,96036,44,95631,45
Butte,2988763,17,3227227,15
Calaveras,59965,48,52806,47
Colusa,2489789,18,2595649,21
Contra Costa,412947,36,580357,35
Del Norte,199519,41,135966,43
El Dorado,152314,42,148703,42
Fresno,31969270,1,37546827,1
Glenn,2091507,21,2210193,22
Humboldt,36735,51,38253,50
Imperial,5030191,11,4975642,11
Inyo,12151,55,14009,53
Kern,27821945,2,31903060,2
Kings,6902956,9,7016567,10
Lake,583418,34,739467,33
Lassen,116956,43,56453,46
Los Angeles,2088625,22,2598817,20
Madera,9588770,5,11294779,5
Marin,76885,47,107679,44
Mariposa,8751,57,5856,56
Mendocino,906058,31,1307324,29
Merced,8980921,7,10115786,6
Modoc,91721,45,214377,41
Mono,9885,56,12046,54
Monterey,9407636,6,9181358,7
Napa,1365951,26,1581059,25
Nevada,53769,49,49497,49
Orange,921109,30,1231732,30
Placer,308293,37,383049,37
Plumas,26863,52,20971,52
Riverside,2247379,19,2676499,19
Sacramento,4061419,13,4779465,13
San Benito,660443,33,589271,34
San Bernardino,578450,35,457318,36
San Diego,1620462,24,1458292,26
San Francisco,39914,50,28937,51
San Joaquin,12047946,4,12814552,4
San Luis Obispo,3041144,15,3212575,16
San Mateo,261383,39,251648,40
Santa Barbara,4785627,12,4965270,12
Santa Clara,1319889,27,1010331,31
Santa Cruz,1922385,23,1810519,23
Shasta,247169,40,291774,39
Sierra,12384,54,11305,55
Siskiyou,1616458,25,1428155,28
Solano,1309612,28,1451108,27
Sonoma,2228887,20,2839007,18
Stanislaus,7146785,8,8083345,8
Sutter,3024005,16,3136720,17
Tehama,863442,32,969530,32
Trinity,22324,53,4874,57
Tulare,14924204,3,17610519,3
Tuolumne,83337,46,50298,48
Ventura,6541333,10,7345915,9
Yolo,3487379,14,4168753,14
Yuba,1035852,29,1602424,24
