Year,County,Birthweight Type,Total Births,Events,Percent,Lower 95% CI,Upper 95% CI,,,
2018,Del Norte,Low Birthweight,283,,,,,,,
2018,El Dorado,Low Birthweight,1670,17,1,0.6,1.6,,,
2018,Fresno,Low Birthweight,14409,196,1.4,1.2,1.6,,,
2018,Glenn,Low Birthweight,364,,,,,,,
2018,Humboldt,Low Birthweight,1364,13,1,0.6,1.6,,,
2018,Imperial,Low Birthweight,2622,24,0.9,0.6,1.4,,,
2018,Inyo,Low Birthweight,171,,,,,,,
2018,Kern,Low Birthweight,12870,179,1.4,1.2,1.6,,,
2018,Kings,Low Birthweight,2256,32,1.4,1,2,,,
2018,Lake,Low Birthweight,716,11,1.5,0.9,2.7,,,
2018,Lassen,Low Birthweight,310,,,,,,,
2018,Los Angeles,Low Birthweight,110158,1304,1.2,1.1,1.2,,,
2018,Madera,Low Birthweight,2074,26,1.3,0.9,1.8,,,
2018,Marin,Low Birthweight,2126,16,0.8,0.5,1.2,,,
2018,Mariposa,Low Birthweight,156,,,,,,,
2018,Mendocino,Low Birthweight,898,,,,,,,
2018,Merced,Low Birthweight,3871,37,1,0.7,1.3,,,
2018,Modoc,Low Birthweight,105,,,,,,,
2018,Mono,Low Birthweight,132,,,,,,,
2018,Monterey,Low Birthweight,5888,56,1,0.7,1.2,,,
2018,Napa,Low Birthweight,1201,13,1.1,0.6,1.8,,,
2018,Nevada,Low Birthweight,771,,,,,,,
2018,Orange,Low Birthweight,35638,307,0.9,0.8,1,,,
2018,Placer,Low Birthweight,3657,25,0.7,0.5,1,,,
2018,Plumas,Low Birthweight,164,,,,,,,
2018,Riverside,Low Birthweight,28674,320,1.1,1,1.2,,,
2018,Sacramento,Low Birthweight,19056,238,1.2,1.1,1.4,,,
2018,San Benito,Low Birthweight,774,,,,,,,
2018,San Bernardino,Low Birthweight,28942,397,1.4,1.2,1.5,,,
2018,San Diego,Low Birthweight,39984,423,1.1,1,1.2,,,
2018,San Francisco,Low Birthweight,8691,71,0.8,0.6,1,,,
2018,San Joaquin,Low Birthweight,9814,137,1.4,1.2,1.6,,,
2018,San Luis Obispo,Low Birthweight,2431,20,0.8,0.5,1.3,,,
2018,San Mateo,Low Birthweight,8325,69,0.8,0.7,1,,,
2018,Santa Barbara,Low Birthweight,5258,47,0.9,0.7,1.2,,,
2018,Santa Clara,Low Birthweight,21270,202,0.9,0.8,1.1,,,
2018,Santa Cruz,Low Birthweight,2446,20,0.8,0.5,1.3,,,
2018,Shasta,Low Birthweight,1959,14,0.7,0.4,1.2,,,
2018,Sierra,Low Birthweight,22,,,,,,,
2018,Siskiyou,Low Birthweight,435,,,,,,,
2018,Solano,Low Birthweight,5029,55,1.1,0.8,1.4,,,
2018,Sonoma,Low Birthweight,4520,41,0.9,0.7,1.2,,,
2018,Stanislaus,Low Birthweight,7339,68,0.9,0.7,1.2,,,
2018,Sutter,Low Birthweight,1267,,,,,,,
2018,Tehama,Low Birthweight,732,,,,,,,
2018,Trinity,Low Birthweight,112,,,,,,,
2018,Tulare,Low Birthweight,6897,90,1.3,1.1,1.6,,,
2018,Tuolumne,Low Birthweight,450,,,,,,,
2018,Ventura,Low Birthweight,9028,90,1,0.8,1.2,,,
2018,Yolo,Low Birthweight,2130,18,0.8,0.5,1.3,,,
2018,Yuba,Low Birthweight,1096,11,1,0.6,1.8,,,
