county,lbs_2008,rank_2008,lbs_2009,rank_2009
Alameda,320625,38,207729,41
Alpine,472,57,362,57
Amador,82796,45,66657,44
Butte,2484720,16,1110027,26
Calaveras,33464,50,27195,47
Colusa,2076109,22,2412116,15
Contra Costa,456741,35,414036,35
Del Norte,321645,37,4418,55
El Dorado,100283,44,108061,42
Fresno,27623919,1,27818431,1
Glenn,2107543,21,2118108,20
Humboldt,61943,47,28567,46
Imperial,4483349,11,3647306,12
Inyo,5864,54,1953,56
Kern,25548011,2,21997444,2
Kings,6289848,9,6760228,7
Lake,602776,34,367113,36
Lassen,125739,43,86872,43
Los Angeles,2743118,14,2237426,17
Madera,7591131,5,7686613,6
Marin,68953,46,63136,45
Mariposa,5795,55,9791,51
Mendocino,953465,29,659765,33
Merced,6934022,6,5977369,8
Modoc,391062,36,452166,34
Mono,3669,56,4806,54
Monterey,7910578,4,7788043,5
Napa,1150084,25,1542060,22
Nevada,35306,49,14947,50
Orange,1049479,27,1230905,25
Placer,240818,41,282905,38
Plumas,59385,48,24801,48
Riverside,2299331,20,1252033,24
Sacramento,3412900,13,3128156,13
San Benito,698989,33,802395,31
San Bernardino,273897,40,319684,37
San Diego,868881,30,1016771,28
San Francisco,10514,53,5701,53
San Joaquin,6777463,7,8457681,4
San Luis Obispo,2399510,18,2229886,18
San Mateo,306803,39,242193,40
Santa Barbara,4291189,12,3732766,11
Santa Clara,1173874,24,679712,32
Santa Cruz,1654999,23,1585802,21
Shasta,206999,42,268154,39
Sierra,156,58,58,NA
Siskiyou,1074450,26,1484802,23
Solano,829706,31,891192,30
Sonoma,2418268,17,2149897,19
Stanislaus,5706370,10,5623249,10
Sutter,2636539,15,2611046,14
Tehama,998654,28,900355,29
Trinity,13186,52,7329,52
Tulare,14347950,3,14074817,3
Tuolumne,19407,51,24641,49
Ventura,6451549,8,5782073,9
Yolo,2306027,19,2390152,16
Yuba,798625,32,1057863,27
